epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,5819.74,1.35352,0.85386,0.00363,0.85037,0.85889,0.91189,0.61802,1.34975,0.57397,0.00534,0.00164264,0.00164264,0.00164264
91,5885.75,1.35212,0.81802,0.00362,0.83796,0.83405,0.89888,0.59612,1.38069,0.57265,0.00549,0.00154982,0.00154982,0.00154982
92,5952.11,1.33221,0.815,0.00358,0.84972,0.83304,0.90604,0.5842,1.42575,0.57533,0.00576,0.0014594,0.0014594,0.0014594
93,6016.92,1.3101,0.79103,0.00364,0.86383,0.83093,0.90841,0.58234,1.45004,0.60344,0.0059,0.00137143,0.00137143,0.00137143
94,6080.46,1.34164,0.81293,0.00367,0.82042,0.84898,0.90007,0.59076,1.40037,0.58149,0.00562,0.00128599,0.00128599,0.00128599
95,6144.54,1.30479,0.78549,0.00362,0.85378,0.84556,0.90459,0.59854,1.38544,0.57088,0.0055,0.00120313,0.00120313,0.00120313
96,6208.48,1.3178,0.77923,0.00354,0.85697,0.86018,0.90664,0.60372,1.39163,0.5616,0.00557,0.0011229,0.0011229,0.0011229
97,6272.24,1.31196,0.7721,0.00354,0.85583,0.85002,0.91637,0.60587,1.39129,0.55988,0.00553,0.00104537,0.00104537,0.00104537
98,6335.67,1.30974,0.77014,0.00345,0.85982,0.84004,0.91414,0.60839,1.37183,0.56319,0.00548,0.000970575,0.000970575,0.000970575
99,6399.88,1.33103,0.7999,0.00347,0.86717,0.85097,0.91797,0.61683,1.3605,0.55131,0.00534,0.000898581,0.000898581,0.000898581
100,6465.73,1.30827,0.775,0.00353,0.85434,0.83892,0.91418,0.59479,1.40776,0.56541,0.00566,0.000829431,0.000829431,0.000829431
101,6548.99,1.18991,0.55691,0.00361,0.85549,0.84618,0.91304,0.59907,1.42218,0.57909,0.00571,0.000763174,0.000763174,0.000763174
102,6611.3,1.1889,0.55221,0.00363,0.84864,0.85462,0.91376,0.6075,1.37584,0.56966,0.00556,0.000699855,0.000699855,0.000699855
103,6673.65,1.17622,0.5462,0.00349,0.86167,0.86333,0.91845,0.61763,1.36755,0.54136,0.00541,0.000639518,0.000639518,0.000639518
104,6736.49,1.16896,0.54586,0.00357,0.84231,0.87236,0.9187,0.60132,1.3964,0.56135,0.00562,0.000582203,0.000582203,0.000582203
105,6799.52,1.17281,0.54539,0.00355,0.86483,0.87052,0.92259,0.61744,1.3647,0.54301,0.00542,0.00052795,0.00052795,0.00052795
106,6862.49,1.18397,0.54767,0.00358,0.87815,0.84966,0.91974,0.6062,1.39138,0.55419,0.00564,0.000476796,0.000476796,0.000476796
107,6925.22,1.15842,0.52351,0.00349,0.85779,0.86999,0.92337,0.61765,1.35257,0.53595,0.00534,0.000428777,0.000428777,0.000428777
108,6987.65,1.16808,0.52824,0.00344,0.83489,0.89207,0.92537,0.61472,1.37086,0.54061,0.00555,0.000383925,0.000383925,0.000383925
109,7050.06,1.16115,0.52032,0.00351,0.86109,0.87398,0.9269,0.62215,1.35164,0.53223,0.00539,0.00034227,0.00034227,0.00034227
110,7113.54,1.15075,0.51953,0.00335,0.85334,0.88563,0.92705,0.61747,1.36066,0.52913,0.00546,0.000303842,0.000303842,0.000303842
111,7176.13,1.16271,0.5245,0.00356,0.84337,0.90157,0.92702,0.62049,1.34751,0.5279,0.00535,0.000268667,0.000268667,0.000268667
112,7239.07,1.15578,0.5195,0.00347,0.84864,0.89257,0.92647,0.62086,1.34977,0.52893,0.00539,0.000236769,0.000236769,0.000236769
113,7301.52,1.15238,0.50985,0.00344,0.84082,0.89397,0.92539,0.61402,1.36993,0.53665,0.00553,0.000208169,0.000208169,0.000208169
114,7363.87,1.14211,0.51773,0.00344,0.84662,0.8842,0.92636,0.61554,1.35894,0.53499,0.00542,0.000182888,0.000182888,0.000182888
115,7426.25,1.13633,0.50822,0.00348,0.85898,0.87767,0.92726,0.6165,1.35751,0.53088,0.00543,0.000160943,0.000160943,0.000160943
116,7489.02,1.13501,0.50597,0.00332,0.84272,0.88438,0.92566,0.62122,1.34956,0.53009,0.0054,0.000142348,0.000142348,0.000142348
117,7551.53,1.1541,0.51569,0.00343,0.83501,0.89296,0.92694,0.6268,1.34001,0.53061,0.00534,0.000127117,0.000127117,0.000127117
118,7614.28,1.1471,0.51047,0.00329,0.84305,0.87697,0.92626,0.61772,1.35711,0.53729,0.00542,0.000115259,0.000115259,0.000115259
119,7676.68,1.14982,0.51084,0.00341,0.86242,0.8665,0.92673,0.61685,1.36012,0.53265,0.00542,0.000106784,0.000106784,0.000106784
120,7739.16,1.13958,0.50976,0.00342,0.86291,0.87245,0.92853,0.62242,1.34553,0.52854,0.00535,0.000101696,0.000101696,0.000101696
