epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1775.61,0.92731,0.36805,0.00374,0.91669,0.74153,0.83371,0.54851,1.28163,0.57129,0.00631,0.0001981,0.0001981,0.0001981
83,1798.57,0.97959,0.39095,0.00365,0.92097,0.72366,0.8319,0.54262,1.26961,0.57245,0.00626,0.0001882,0.0001882,0.0001882
84,1821.35,0.95741,0.36698,0.00384,0.88648,0.74116,0.82016,0.52324,1.29521,0.56679,0.00627,0.0001783,0.0001783,0.0001783
85,1844.13,0.91818,0.37493,0.00374,0.88635,0.74596,0.832,0.54907,1.25595,0.56253,0.00611,0.0001684,0.0001684,0.0001684
86,1866.93,0.9126,0.35068,0.00371,0.89038,0.74487,0.82908,0.53726,1.27617,0.57859,0.00624,0.0001585,0.0001585,0.0001585
87,1889.95,0.97656,0.37669,0.00344,0.92424,0.71045,0.82043,0.53648,1.25309,0.57994,0.00614,0.0001486,0.0001486,0.0001486
88,1912.87,0.91918,0.35917,0.00353,0.849,0.75785,0.82177,0.53053,1.27876,0.59135,0.00625,0.0001387,0.0001387,0.0001387
89,1935.7,0.8865,0.34698,0.00387,0.85835,0.75978,0.81851,0.5338,1.2546,0.59267,0.00614,0.0001288,0.0001288,0.0001288
90,1958.54,0.91229,0.34778,0.00371,0.86261,0.76474,0.81884,0.52707,1.26542,0.58921,0.00616,0.0001189,0.0001189,0.0001189
91,1987.13,0.87852,0.30879,0.00401,0.91042,0.74478,0.82041,0.52718,1.28345,0.58941,0.0063,0.000109,0.000109,0.000109
92,2010.01,0.84128,0.29433,0.00402,0.90035,0.75148,0.82005,0.53337,1.25753,0.57729,0.00616,9.91e-05,9.91e-05,9.91e-05
93,2032.81,0.8428,0.28891,0.00402,0.88804,0.76173,0.82904,0.53298,1.28732,0.58763,0.00629,8.92e-05,8.92e-05,8.92e-05
94,2055.63,0.83825,0.28941,0.00393,0.88891,0.76567,0.81982,0.53314,1.28332,0.60052,0.00629,7.93e-05,7.93e-05,7.93e-05
95,2078.47,0.81309,0.28251,0.00386,0.88293,0.7523,0.83476,0.54453,1.26494,0.59027,0.00623,6.94e-05,6.94e-05,6.94e-05
